Tissue,Dataset,Status,Accuracy,Macro F1,Weighted F1,Original GT Cells,Original Pred Cells,Matched Cells,Coverage %,Results Directory
brain,Choudhury2022,success,0.1136,0.2198,0.1230,-,-,-,100.0,brain_Choudhury2022
brain,Filbin2018,success,0.0000,0.0000,0.0000,-,-,-,100.0,brain_Filbin2018
brain,Gojo2020,success,0.0000,0.0000,0.0000,-,-,-,100.0,brain_Gojo2020
brain,Neftel2019,success,0.0000,0.0000,0.0000,-,-,-,100.0,brain_Neftel2019
brain,Tirosh2016,success,0.0000,0.0000,0.0000,-,-,-,100.0,brain_Tirosh2016
brain,Venteicher2017,success,0.0000,0.0000,0.0000,-,-,-,100.0,brain_Venteicher2017
brain,Wang2019,success,0.0000,0.0000,0.0000,-,-,-,100.0,brain_Wang2019
brain,Yuan2018,success,0.0105,0.0717,0.0103,-,-,-,100.0,brain_Yuan2018
breast,Bassez2021,success,0.0567,0.0586,0.0733,-,-,-,100.0,breast_Bassez2021
breast,Chung2017,success,0.1087,0.1915,0.1540,-,-,-,100.0,breast_Chung2017
breast,Gao2021,success,0.1014,0.2392,0.0978,-,-,-,100.0,breast_Gao2021
breast,Gulati2020,success,0.0000,0.0000,0.0000,-,-,-,100.0,breast_Gulati2020
breast,Karaayvas2018,success,0.0665,0.1322,0.0525,-,-,-,100.0,breast_Karaayvas2018
breast,Qian2020,success,0.1503,0.2547,0.1418,-,-,-,100.0,breast_Qian2020
breast,Wu2021,success,0.1867,0.2639,0.2392,-,-,-,100.0,breast_Wu2021
colorectal,Lee2020,success,0.0646,0.1854,0.0516,-,-,-,100.0,colorectal_Lee2020
colorectal,Li2017,success,0.0153,0.0577,0.0070,-,-,-,100.0,colorectal_Li2017
head_neck,Chen2020,success,0.1392,0.0425,0.2294,-,-,-,100.0,head_neck_Chen2020
head_neck,Kurten2021,success,0.1537,0.2116,0.1579,-,-,-,100.0,head_neck_Kurten2021
head_neck,Puram2017,success,0.4492,0.3161,0.5309,-,-,-,100.0,head_neck_Puram2017
hematologic,Caron2020,success,0.0113,0.0251,0.0075,-,-,-,100.0,hematologic_Caron2020
hematologic,Galen2019,success,0.0081,0.0093,0.0151,-,-,-,100.0,hematologic_Galen2019
hematologic,Giustacchini2017,success,0.0000,0.0000,0.0000,-,-,-,100.0,hematologic_Giustacchini2017
hematologic,Liu2021,success,0.0000,0.0000,0.0000,-,-,-,100.0,hematologic_Liu2021
hematologic,Nam2019,success,0.2636,0.1403,0.1208,-,-,-,100.0,hematologic_Nam2019
hematologic,Rendeiro2020,success,0.0008,0.0009,0.0008,-,-,-,100.0,hematologic_Rendeiro2020
hematologic,Riether2020,success,0.0000,0.0000,0.0000,-,-,-,100.0,hematologic_Riether2020
hematologic,Roider2020,success,0.0000,0.0000,0.0000,-,-,-,100.0,hematologic_Roider2020
hematologic,Steen2021,success,0.0000,0.0000,0.0000,-,-,-,100.0,hematologic_Steen2021
hematologic,Wu2020,success,0.0007,0.0023,0.0006,-,-,-,100.0,hematologic_Wu2020
kidney,Krishna2021,success,0.0382,0.1064,0.0331,-,-,-,100.0,kidney_Krishna2021
kidney,Obradovic2021,success,0.1898,0.1520,0.1971,-,-,-,100.0,kidney_Obradovic2021
kidney,Young2018,success,0.0592,0.1638,0.0547,-,-,-,100.0,kidney_Young2018
kidney,Zhang2021,success,0.2252,0.1845,0.2489,-,-,-,100.0,kidney_Zhang2021
liver,Ma2019,success,0.1829,0.2084,0.1849,-,-,-,100.0,liver_Ma2019
liver,Sun2021,success,0.0976,0.0396,0.1685,-,-,-,100.0,liver_Sun2021
lung,Chan2021,success,0.1997,0.4544,0.2772,-,-,-,100.0,lung_Chan2021
lung,Kim2020,success,0.0631,0.2439,0.0626,-,-,-,100.0,lung_Kim2020
lung,Laughney2020,success,0.0090,0.0628,0.0125,-,-,-,100.0,lung_Laughney2020
lung,Qian2020,success,0.1159,0.2423,0.1716,-,-,-,100.0,lung_Qian2020
lung,Song2019,success,0.0187,0.0601,0.0302,-,-,-,100.0,lung_Song2019
lung,Xing2021,success,0.1032,0.2678,0.1501,-,-,-,100.0,lung_Xing2021
lung,Zilionis2019,success,0.0345,0.3242,0.0352,-,-,-,100.0,lung_Zilionis2019
neuroendocrine,Dong2020,success,0.0147,0.1560,0.0116,-,-,-,100.0,neuroendocrine_Dong2020
neuroendocrine,Jansky2021,success,0.0084,0.0670,0.0046,-,-,-,100.0,neuroendocrine_Jansky2021
neuroendocrine,Kildisiute2021,success,0.2244,0.2623,0.2654,-,-,-,100.0,neuroendocrine_Kildisiute2021
neuroendocrine,Rao2020,success,0.1146,0.3631,0.1258,-,-,-,100.0,neuroendocrine_Rao2020
ovarian,Geistlinger2020,success,0.2080,0.2247,0.2321,-,-,-,100.0,ovarian_Geistlinger2020
ovarian,Izar2020,success,0.2126,0.2359,0.2594,-,-,-,100.0,ovarian_Izar2020
ovarian,Nath2021,success,0.0000,0.0000,0.0000,-,-,-,100.0,ovarian_Nath2021
ovarian,Olalekan2021,success,0.1857,0.1982,0.1683,-,-,-,100.0,ovarian_Olalekan2021
ovarian,Olbrecht2021,success,0.2159,0.1915,0.2564,-,-,-,100.0,ovarian_Olbrecht2021
ovarian,Qian2020,success,0.0988,0.1758,0.1417,-,-,-,100.0,ovarian_Qian2020
ovarian,Regner2021,success,0.2966,0.2558,0.3128,-,-,-,100.0,ovarian_Regner2021
ovarian,Shih2018,success,0.1709,0.2014,0.1680,-,-,-,100.0,ovarian_Shih2018
ovarian,Tang-Huau2018,success,0.0000,0.0000,0.0000,-,-,-,100.0,ovarian_Tang-Huau2018
ovarian,Zhang2022,success,0.1412,0.1437,0.1513,-,-,-,100.0,ovarian_Zhang2022
pancreas,Lin2020,success,0.1887,0.3001,0.1748,-,-,-,100.0,pancreas_Lin2020
pancreas,Moncada2020,success,0.0978,0.3593,0.1026,-,-,-,100.0,pancreas_Moncada2020
pancreas,Peng2019,success,0.2532,0.2533,0.3028,-,-,-,100.0,pancreas_Peng2019
pancreas,Raghavan2021,success,0.0488,0.1583,0.0750,-,-,-,100.0,pancreas_Raghavan2021
pancreas,Steele2020,success,0.0060,0.1107,0.0053,-,-,-,100.0,pancreas_Steele2020
prostate,Chen2021,success,0.0934,0.1411,0.0948,-,-,-,100.0,prostate_Chen2021
prostate,Dong2020,success,0.0970,0.2036,0.0978,-,-,-,100.0,prostate_Dong2020
prostate,He2021,success,0.0871,0.0527,0.1421,-,-,-,100.0,prostate_He2021
prostate,Song2022,success,0.0890,0.1796,0.0753,-,-,-,100.0,prostate_Song2022
scarcoma,Jerby-Arnon2021,success,0.0492,0.2014,0.0400,-,-,-,100.0,scarcoma_Jerby-Arnon2021
skin,Biermann2022,success,0.0304,0.0644,0.0093,-,-,-,100.0,skin_Biermann2022
skin,Jerby-Arnon2018,success,0.1329,0.1865,0.1967,-,-,-,100.0,skin_Jerby-Arnon2018
skin,Ji2020,success,0.0324,0.2690,0.0356,-,-,-,100.0,skin_Ji2020
skin,Li2019,success,0.0817,0.0633,0.1394,-,-,-,100.0,skin_Li2019
skin,Paulson2020,success,0.0314,0.0686,0.0475,-,-,-,100.0,skin_Paulson2020
skin,Tirosh2016,success,0.0254,0.1501,0.0135,-,-,-,100.0,skin_Tirosh2016
skin,Yost2019,success,0.0264,0.2592,0.0276,-,-,-,100.0,skin_Yost2019
