Tissue,Dataset,Status,Accuracy,Macro F1,Weighted F1,Original GT Cells,Original Pred Cells,Matched Cells,Coverage %,Results Directory
brain,Choudhury2022_Brain,success,0.3046,0.5878,0.2891,-,-,-,100.0,brain_Choudhury2022_Brain
brain,Filbin2018_Brain,success,0.0897,0.0426,0.0153,-,-,-,100.0,brain_Filbin2018_Brain
brain,Gojo2020_Brain,success,0.0852,0.4022,0.1040,-,-,-,100.0,brain_Gojo2020_Brain
brain,Neftel2019_Brain,success,0.1842,0.3701,0.1481,-,-,-,100.0,brain_Neftel2019_Brain
brain,Tirosh2016_Brain,success,0.0541,0.2500,0.0541,-,-,-,100.0,brain_Tirosh2016_Brain
brain,Venteicher2017_Brain,success,0.1807,0.4978,0.1590,-,-,-,100.0,brain_Venteicher2017_Brain
brain,Wang2019_Brain,success,0.3743,0.2825,0.2478,-,-,-,100.0,brain_Wang2019_Brain
brain,Yuan2018_Brain,success,0.1353,0.4467,0.1218,-,-,-,100.0,brain_Yuan2018_Brain
breast,Bassez2021_Breast,success,0.3160,0.1518,0.3442,-,-,-,100.0,breast_Bassez2021_Breast
breast,Chung2017_Breast,success,0.3845,0.6000,0.3845,-,-,-,100.0,breast_Chung2017_Breast
breast,Gao2021_Breast,success,0.2817,0.5573,0.2279,-,-,-,100.0,breast_Gao2021_Breast
breast,Gulati2020_Breast,success,0.4527,0.3116,0.2821,-,-,-,100.0,breast_Gulati2020_Breast
breast,Karaayvas2018_Breast,success,0.1591,0.4478,0.1184,-,-,-,100.0,breast_Karaayvas2018_Breast
breast,Qian2020_Breast,success,0.6563,0.5714,0.6563,-,-,-,100.0,breast_Qian2020_Breast
breast,Wu2021_Breast,success,0.6915,0.5582,0.6784,-,-,-,100.0,breast_Wu2021_Breast
colorectal,Li2017_Colorectal,success,0.3644,0.5566,0.2097,-,-,-,100.0,colorectal_Li2017_Colorectal
head_neck,Chen2020_Head-and-Neck,success,0.8419,0.6364,0.7779,-,-,-,100.0,head_neck_Chen2020_Head-and-Neck
head_neck,Kurten2021_Head-and-Neck,success,0.8052,0.6047,0.8015,-,-,-,100.0,head_neck_Kurten2021_Head-and-Neck
head_neck,Puram2017_Head-and-Neck,success,0.5698,0.7143,0.5698,-,-,-,100.0,head_neck_Puram2017_Head-and-Neck
hematologic,Caron2020_Hematologic,success,0.0667,0.0618,0.0083,-,-,-,100.0,hematologic_Caron2020_Hematologic
hematologic,Galen2019_Hematologic,success,0.4391,0.3222,0.3582,-,-,-,100.0,hematologic_Galen2019_Hematologic
hematologic,Giustacchini2017_Hematologic,success,0.8986,0.4733,0.8505,-,-,-,100.0,hematologic_Giustacchini2017_Hematologic
hematologic,Liu2021_Hematologic,success,0.7697,0.6030,0.6766,-,-,-,100.0,hematologic_Liu2021_Hematologic
hematologic,Nam2019_Hematologic,success,0.8591,0.4223,0.8252,-,-,-,100.0,hematologic_Nam2019_Hematologic
hematologic,Rendeiro2020_Hematologic,success,0.2338,0.1720,0.1006,-,-,-,100.0,hematologic_Rendeiro2020_Hematologic
hematologic,Roider2020_Hematologic,success,0.3594,0.5081,0.1914,-,-,-,100.0,hematologic_Roider2020_Hematologic
hematologic,Steen2021_Hematologic,success,0.8245,0.4751,0.7454,-,-,-,100.0,hematologic_Steen2021_Hematologic
hematologic,Wu2020_Hematologic,success,0.4476,0.4422,0.4103,-,-,-,100.0,hematologic_Wu2020_Hematologic
kidney,Krishna2021_Kidney,success,0.8651,0.5612,0.8268,-,-,-,100.0,kidney_Krishna2021_Kidney
kidney,Obradovic2021_Kidney,success,0.2215,0.2377,0.1998,-,-,-,100.0,kidney_Obradovic2021_Kidney
kidney,Young2018_Kidney,success,0.2177,0.4371,0.1732,-,-,-,100.0,kidney_Young2018_Kidney
kidney,Zhang2021_Kidney,success,0.5218,0.4650,0.4261,-,-,-,100.0,kidney_Zhang2021_Kidney
liver,Ma2019_Liver-Biliary,success,0.2601,0.4286,0.2601,-,-,-,100.0,liver_Ma2019_Liver-Biliary
liver,Sun2021_Liver-Biliary,success,0.8341,0.6707,0.8321,-,-,-,100.0,liver_Sun2021_Liver-Biliary
lung,Chan2021_Lung,success,0.4109,0.6801,0.3870,-,-,-,100.0,lung_Chan2021_Lung
lung,Kim2020_Lung,success,0.6135,0.5901,0.5882,-,-,-,100.0,lung_Kim2020_Lung
lung,Laughney2020_Lung,success,0.8356,0.3096,0.8229,-,-,-,100.0,lung_Laughney2020_Lung
lung,Qian2020_Lung,success,0.7553,0.5988,0.7089,-,-,-,100.0,lung_Qian2020_Lung
lung,Song2019_Lung,success,0.8443,0.3158,0.8283,-,-,-,100.0,lung_Song2019_Lung
lung,Xing2021_Lung,success,0.9160,0.6754,0.8841,-,-,-,100.0,lung_Xing2021_Lung
lung,Zilionis2019_Lung,success,0.8357,0.6520,0.8355,-,-,-,100.0,lung_Zilionis2019_Lung
neuroendocrine,Dong2020_Neuroendocrine,success,0.0299,0.5307,0.0188,-,-,-,100.0,neuroendocrine_Dong2020_Neuroendocrine
neuroendocrine,Jansky2021_Neuroendocrine,success,0.0219,0.4515,0.0184,-,-,-,100.0,neuroendocrine_Jansky2021_Neuroendocrine
neuroendocrine,Kildisiute2021_Neuroendocrine,success,0.6301,0.6667,0.6301,-,-,-,100.0,neuroendocrine_Kildisiute2021_Neuroendocrine
neuroendocrine,Rao2020_Neuroendocrine,success,0.5381,0.5481,0.4146,-,-,-,100.0,neuroendocrine_Rao2020_Neuroendocrine
ovarian,Geistlinger2020_Ovarian,success,0.8004,0.5999,0.7851,-,-,-,100.0,ovarian_Geistlinger2020_Ovarian
ovarian,Izar2020_Ovarian,success,0.7956,0.4642,0.7887,-,-,-,100.0,ovarian_Izar2020_Ovarian
ovarian,Nath2021_Ovarian,success,0.8772,0.5816,0.8284,-,-,-,100.0,ovarian_Nath2021_Ovarian
ovarian,Olalekan2021_Ovarian,success,0.9731,0.9598,0.9739,-,-,-,100.0,ovarian_Olalekan2021_Ovarian
ovarian,Olbrecht2021_Ovarian,success,0.7066,0.6292,0.6845,-,-,-,100.0,ovarian_Olbrecht2021_Ovarian
ovarian,Qian2020_Ovarian,success,0.9161,0.8169,0.8782,-,-,-,100.0,ovarian_Qian2020_Ovarian
ovarian,Regner2021_Ovarian,success,0.5595,0.7143,0.5595,-,-,-,100.0,ovarian_Regner2021_Ovarian
ovarian,Shih2018_Ovarian,success,0.3050,0.4433,0.2786,-,-,-,100.0,ovarian_Shih2018_Ovarian
ovarian,Tang-Huau2018_Ovarian,success,0.4822,0.3253,0.6506,-,-,-,100.0,ovarian_Tang-Huau2018_Ovarian
ovarian,Zhang2022_Ovarian,success,0.7854,0.6385,0.7669,-,-,-,100.0,ovarian_Zhang2022_Ovarian
pancreas,Lin2020_Pancreas,success,1.0000,1.0000,1.0000,-,-,-,100.0,pancreas_Lin2020_Pancreas
pancreas,Moncada2020_Pancreas,success,0.7699,0.5334,0.6975,-,-,-,100.0,pancreas_Moncada2020_Pancreas
pancreas,Peng2019_Pancreas,success,0.5407,0.5524,0.5053,-,-,-,100.0,pancreas_Peng2019_Pancreas
pancreas,Raghavan2021_Pancreas,success,0.6762,0.6780,0.6653,-,-,-,100.0,pancreas_Raghavan2021_Pancreas
pancreas,Steele2020_Pancreas,success,0.6200,0.6116,0.5665,-,-,-,100.0,pancreas_Steele2020_Pancreas
prostate,Chen2021_Prostate,success,0.5519,0.6002,0.4602,-,-,-,100.0,prostate_Chen2021_Prostate
prostate,Dong2020_Prostate,success,0.7034,0.7313,0.6857,-,-,-,100.0,prostate_Dong2020_Prostate
prostate,He2021_Prostate,success,0.5152,0.3263,0.4838,-,-,-,100.0,prostate_He2021_Prostate
prostate,Song2022_Prostate,success,0.7570,0.6377,0.6823,-,-,-,100.0,prostate_Song2022_Prostate
scarcoma,Jerby-Arnon2021_Sarcoma,success,0.9852,0.6667,0.9852,-,-,-,100.0,scarcoma_Jerby-Arnon2021_Sarcoma
skin,Biermann2022_Skin,success,0.3279,0.7068,0.3176,-,-,-,100.0,skin_Biermann2022_Skin
skin,Jerby-Arnon2018_Skin,success,0.9573,0.7347,0.9486,-,-,-,100.0,skin_Jerby-Arnon2018_Skin
skin,Ji2020_Skin,success,0.7407,0.6749,0.6522,-,-,-,100.0,skin_Ji2020_Skin
skin,Li2019_Skin,success,0.6050,0.6000,0.6050,-,-,-,100.0,skin_Li2019_Skin
skin,Paulson2020_Skin,success,0.6659,0.6000,0.6659,-,-,-,100.0,skin_Paulson2020_Skin
skin,Tirosh2016_Skin,success,0.6114,0.5505,0.5935,-,-,-,100.0,skin_Tirosh2016_Skin
skin,Yost2019_Skin,success,0.9525,0.5714,0.9525,-,-,-,100.0,skin_Yost2019_Skin
