Tissue,Dataset,Status,Accuracy,Macro F1,Weighted F1,Original GT Cells,Original Pred Cells,Matched Cells,Coverage %,Results Directory
brain,Choudhury2022,success,0.3046,0.5878,0.2891,-,-,-,100.0,brain_Choudhury2022
brain,Filbin2018,success,0.1268,0.3901,0.0524,-,-,-,100.0,brain_Filbin2018
brain,Gojo2020,success,0.0691,0.2059,0.0814,-,-,-,100.0,brain_Gojo2020
brain,Neftel2019,success,0.1842,0.3701,0.1481,-,-,-,100.0,brain_Neftel2019
brain,Tirosh2016,success,0.0541,0.2500,0.0541,-,-,-,100.0,brain_Tirosh2016
brain,Venteicher2017,success,0.1807,0.4978,0.1590,-,-,-,100.0,brain_Venteicher2017
brain,Wang2019,success,0.3743,0.3411,0.2408,-,-,-,100.0,brain_Wang2019
brain,Yuan2018,success,0.1148,0.3359,0.1082,-,-,-,100.0,brain_Yuan2018
breast,Bassez2021,success,0.3160,0.1301,0.3442,-,-,-,100.0,breast_Bassez2021
breast,Chung2017,success,0.3845,0.6000,0.3845,-,-,-,100.0,breast_Chung2017
breast,Gao2021,success,0.2817,0.5573,0.2279,-,-,-,100.0,breast_Gao2021
breast,Gulati2020,success,0.5473,0.3333,0.5473,-,-,-,100.0,breast_Gulati2020
breast,Karaayvas2018,success,0.1591,0.3510,0.0908,-,-,-,100.0,breast_Karaayvas2018
breast,Qian2020,success,0.6563,0.5714,0.6563,-,-,-,100.0,breast_Qian2020
breast,Wu2021,success,0.7011,0.5672,0.6882,-,-,-,100.0,breast_Wu2021
colorectal,Lee2020,success,0.4411,0.5616,0.4139,-,-,-,100.0,colorectal_Lee2020
colorectal,Li2017,success,0.3644,0.5566,0.2097,-,-,-,100.0,colorectal_Li2017
head_neck,Chen2020,success,0.7896,0.4440,0.7109,-,-,-,100.0,head_neck_Chen2020
head_neck,Kurten2021,success,0.8053,0.6080,0.8019,-,-,-,100.0,head_neck_Kurten2021
head_neck,Puram2017,success,0.5698,0.7143,0.5698,-,-,-,100.0,head_neck_Puram2017
hematologic,Caron2020,success,0.0667,0.0618,0.0083,-,-,-,100.0,hematologic_Caron2020
hematologic,Galen2019,success,0.4391,0.3222,0.3582,-,-,-,100.0,hematologic_Galen2019
hematologic,Giustacchini2017,success,0.1014,0.0921,0.0187,-,-,-,100.0,hematologic_Giustacchini2017
hematologic,Liu2021,success,0.7697,0.6030,0.6766,-,-,-,100.0,hematologic_Liu2021
hematologic,Nam2019,success,0.2616,0.4234,0.1883,-,-,-,100.0,hematologic_Nam2019
hematologic,Rendeiro2020,success,0.2338,0.1720,0.1006,-,-,-,100.0,hematologic_Rendeiro2020
hematologic,Roider2020,success,0.3594,0.5081,0.1914,-,-,-,100.0,hematologic_Roider2020
hematologic,Steen2021,success,0.8245,0.4751,0.7454,-,-,-,100.0,hematologic_Steen2021
hematologic,Wu2020,success,0.3968,0.3856,0.3810,-,-,-,100.0,hematologic_Wu2020
kidney,Krishna2021,success,0.8651,0.5612,0.8268,-,-,-,100.0,kidney_Krishna2021
kidney,Obradovic2021,success,0.2215,0.1860,0.1881,-,-,-,100.0,kidney_Obradovic2021
kidney,Young2018,success,0.2177,0.4388,0.1744,-,-,-,100.0,kidney_Young2018
kidney,Zhang2021,success,0.5698,0.5870,0.4870,-,-,-,100.0,kidney_Zhang2021
liver,Ma2019,success,0.3333,0.5714,0.3333,-,-,-,100.0,liver_Ma2019
liver,Sun2021,success,0.8341,0.6707,0.8321,-,-,-,100.0,liver_Sun2021
lung,Chan2021,success,0.4109,0.6801,0.3870,-,-,-,100.0,lung_Chan2021
lung,Kim2020,success,0.6135,0.5901,0.5882,-,-,-,100.0,lung_Kim2020
lung,Laughney2020,success,0.8784,0.3807,0.8662,-,-,-,100.0,lung_Laughney2020
lung,Qian2020,success,0.7553,0.5989,0.7089,-,-,-,100.0,lung_Qian2020
lung,Song2019,success,0.8443,0.3158,0.8283,-,-,-,100.0,lung_Song2019
lung,Xing2021,success,1.0000,1.0000,1.0000,-,-,-,100.0,lung_Xing2021
lung,Zilionis2019,success,0.8719,0.6667,0.8719,-,-,-,100.0,lung_Zilionis2019
neuroendocrine,Dong2020,success,0.0299,0.5307,0.0188,-,-,-,100.0,neuroendocrine_Dong2020
neuroendocrine,Jansky2021,success,0.5659,0.7852,0.4115,-,-,-,100.0,neuroendocrine_Jansky2021
neuroendocrine,Kildisiute2021,success,0.8591,0.7941,0.8053,-,-,-,100.0,neuroendocrine_Kildisiute2021
neuroendocrine,Rao2020,success,0.0625,0.3333,0.0625,-,-,-,100.0,neuroendocrine_Rao2020
ovarian,Geistlinger2020,success,0.8134,0.6612,0.8060,-,-,-,100.0,ovarian_Geistlinger2020
ovarian,Izar2020,success,0.7956,0.4642,0.7887,-,-,-,100.0,ovarian_Izar2020
ovarian,Nath2021,success,0.1827,0.4730,0.1038,-,-,-,100.0,ovarian_Nath2021
ovarian,Olalekan2021,success,0.5558,0.6765,0.5567,-,-,-,100.0,ovarian_Olalekan2021
ovarian,Olbrecht2021,success,0.5898,0.6127,0.5723,-,-,-,100.0,ovarian_Olbrecht2021
ovarian,Qian2020,success,0.5332,0.5714,0.5332,-,-,-,100.0,ovarian_Qian2020
ovarian,Regner2021,success,0.5595,0.7143,0.5595,-,-,-,100.0,ovarian_Regner2021
ovarian,Shih2018,success,0.3050,0.4433,0.2786,-,-,-,100.0,ovarian_Shih2018
ovarian,Tang-Huau2018,success,1.0000,1.0000,1.0000,-,-,-,100.0,ovarian_Tang-Huau2018
ovarian,Zhang2022,success,0.7854,0.6385,0.7669,-,-,-,100.0,ovarian_Zhang2022
pancreas,Lin2020,success,0.2635,0.6667,0.2635,-,-,-,100.0,pancreas_Lin2020
pancreas,Moncada2020,success,1.0000,1.0000,1.0000,-,-,-,100.0,pancreas_Moncada2020
pancreas,Peng2019,success,0.5475,0.5555,0.5077,-,-,-,100.0,pancreas_Peng2019
