Tissue Type,Dataset,Success,Accuracy,Macro F1,Weighted F1,Cost,Tokens,Time (seconds),Time (formatted)
brain,Choudhury2022,Y,0.3046241693999286,0.5878221737351698,0.2890918994262373,0.14751758999999254,5882.0,563.08,00:09:23
brain,Filbin2018,Y,0.1267877850792423,0.3901334312645366,0.0523899760959093,0.012780239999983678,9243.0,155.4,00:02:35
brain,Gojo2020,Y,0.0691497254785576,0.2058950555164201,0.081374639005972,0.3569252200000079,10436.0,990.74,00:16:30
brain,Neftel2019,Y,0.184244333015623,0.3701458906069502,0.1481148549294954,0.10181799000000069,9109.0,418.1,00:06:58
brain,Tirosh2016,Y,0.0540602714515758,0.25,0.0540602714515758,0.12480839999999205,12511.0,478.66,00:07:58
brain,Venteicher2017,Y,0.1807285917047784,0.497819673560674,0.1590182593132375,0.21370618000000263,14736.0,892.08,00:14:52
brain,Wang2019,Y,0.3742722314150886,0.3410586295116691,0.2407522725085071,0.24085294000001056,13434.0,828.87,00:13:48
brain,Yuan2018,Y,0.1148236876392216,0.3359477124183006,0.1082045056916558,0.31539683999999113,16111.0,892.93,00:14:52
breast,Bassez2021,Y,0.316027974496437,0.1301423565464114,0.3441555716439852,0.38001075000001094,12999.0,1368.23,00:22:48
breast,Chung2017,Y,0.3844660194174757,0.6,0.3844660194174757,0.030726340000001073,5570.0,164.98,00:02:44
breast,Gao2021,Y,0.2816799420709631,0.5572540028111366,0.2278838963571037,0.23806106000000682,15320.0,790.85,00:13:10
breast,Gulati2020,Y,0.5473186119873817,0.3333333333333333,0.5473186119873817,0.2737591399999957,15986.0,673.38,00:11:13
breast,Karaayvas2018,Y,0.1590612777053455,0.3510385108611044,0.0908087278714607,0.218986110000003,13454.0,635.76,00:10:35
breast,Qian2020,Y,0.6563463747959122,0.5714285714285714,0.6563463747959122,0.24137508999999113,12169.0,677.88,00:11:17
breast,Wu2021,Y,0.7010713143588103,0.5671873452850744,0.6881514193875888,0.4079666599999996,11603.0,1272.8,00:21:12
colorectal,Lee2020,Y,0.441058318326638,0.5615758712779355,0.4139193141143577,0.35003557000001706,12597.0,1045.79,00:17:25
colorectal,Li2017,Y,0.3644067796610169,0.5566127290580366,0.2096632856139222,0.42964150000000245,22052.0,1078.71,00:17:58
head_neck,Chen2020,Y,0.7895571380883498,0.444032203346751,0.7109204071620803,0.2147981399999992,12499.0,664.16,00:11:04
head_neck,Kurten2021,Y,0.8053429027113238,0.6079549490093459,0.8019225922593107,0.198690809999988,12501.0,694.41,00:11:34
head_neck,Puram2017,Y,0.5698068451372416,0.7142857142857143,0.5698068451372416,0.250826840000002,9361.0,793.93,00:13:13
hematologic,Caron2020,Y,0.0666934619506966,0.0618248762721454,0.0083432413763312,0.46719169000000704,9567.0,1473.2,00:24:33
hematologic,Galen2019,Y,0.4391471011020604,0.3221800227876946,0.3581823510560646,0.2374854499999941,14929.0,748.86,00:12:28
hematologic,Giustacchini2017,Y,0.1014429383471797,0.0921000396982929,0.0186857972977734,0.08519542000000513,8283.0,388.84,00:06:28
hematologic,Liu2021,Y,0.7697303496652709,0.6029773563053045,0.6765940973383626,0.13837989000001016,8741.0,534.19,00:08:54
hematologic,Nam2019,Y,0.2616471627290793,0.4233878136148869,0.1882618850375868,0.6307254099999966,18124.0,1859.29,00:30:59
hematologic,Rendeiro2020,Y,0.2337554148617127,0.1720174316352374,0.1005766661610294,0.014340640000000349,7263.0,139.61,00:02:19
hematologic,Roider2020,Y,0.3593741141788083,0.5080968819286577,0.1914370344866065,0.14523121999999944,8674.0,566.35,00:09:26
hematologic,Steen2021,Y,0.824476562070671,0.4751246105919003,0.7454472708434874,0.23708553000000165,15472.0,757.17,00:12:37
hematologic,Wu2020,Y,0.3967908886730293,0.3856238932076499,0.3810031816764492,0.42475488000000894,14037.0,1317.85,00:21:57
kidney,Krishna2021,Y,0.8650610044057077,0.5611695119391275,0.8268255964598453,0.6598568699999987,11978.0,1692.01,00:28:12
kidney,Obradovic2021,Y,0.2215257064860219,0.1860432026904669,0.1880631996810554,0.21800251000000515,13304.0,681.67,00:11:21
kidney,Young2018,Y,0.2177178976977601,0.4388096083691988,0.1743706360416708,0.48662025999999514,18472.0,1469.2,00:24:29
kidney,Zhang2021,Y,0.5697563954671914,0.5870430820808501,0.4870436103529131,0.39730658999999946,15076.0,1215.96,00:20:15
liver,Ma2019,Y,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.11238423999999725,,447.52,00:07:27
liver,Sun2021,Y,0.8341011031640199,0.6707070707070707,0.8320902074447958,0.19361437999999964,13200.0,748.67,00:12:28
lung,Chan2021,Y,0.41086058480072,0.6800699317491833,0.3869910252466051,0.4214221000000009,8965.0,1101.43,00:18:21
lung,Kim2020,Y,0.6134859815960361,0.5900977958844644,0.5882302722187716,0.1753915099999972,12481.0,535.29,00:08:55
lung,Laughney2020,Y,0.8783853845204296,0.3806870554631706,0.8661773979614777,0.8975798600000076,13607.0,2458.05,00:40:58
lung,Qian2020,Y,0.7553370992590419,0.5988526455194684,0.7089088314514043,0.34911810000001253,15471.0,1232.9,00:20:32
lung,Song2019,Y,0.8442772457820338,0.3158072696534235,0.828259901731437,0.42693389999999454,9019.0,1384.03,00:23:04
lung,Xing2021,Y,1.0,1.0,1.0,0.36833099999999774,10017.0,1062.43,00:17:42
lung,Zilionis2019,Y,0.8718688861092402,0.6666666666666666,0.8718688861092402,0.26724154000000055,13785.0,1000.92,00:16:40
neuroendocrine,Dong2020,Y,0.0298786011958688,0.530715087781194,0.0188056779791451,0.45017099999999743,10432.0,1465.31,00:24:25
neuroendocrine,Jansky2021,Y,0.5659034414611929,0.7851957621953307,0.4115442240940611,0.35035225000000025,15167.0,1194.43,00:19:54
neuroendocrine,Kildisiute2021,Y,0.859149216650611,0.7941359069872446,0.8052867895942961,0.07315337,9768.0,388.8,00:06:28
neuroendocrine,Rao2020,Y,0.062460434690863,0.3333333333333333,0.062460434690863,0.1363882100000069,7325.0,521.94,00:08:41
ovarian,Geistlinger2020,Y,0.813433745217031,0.6612154535889544,0.8059818288993,0.31400813999999855,16369.0,1042.67,00:17:22
ovarian,Izar2020,Y,0.7956062291434928,0.4642388407857512,0.7887162651921708,0.23253445999999656,8313.0,709.21,00:11:49
ovarian,Nath2021,Y,0.182726640945146,0.473004955560375,0.1037637918247107,0.4110575799999907,18983.0,1312.87,00:21:52
ovarian,Olalekan2021,Y,0.5557916034395549,0.6764825218186897,0.5567154114878402,0.27252704999999366,15926.0,837.23,00:13:57
ovarian,Olbrecht2021,Y,0.5898377125193199,0.6126649297163805,0.5722540085188134,0.16755659000000378,12998.0,533.15,00:08:53
ovarian,Qian2020,Y,0.5331838829567577,0.5714285714285714,0.5331838829567577,0.07854829000000052,12644.0,339.87,00:05:39
ovarian,Regner2021,Y,0.5594529043350117,0.7142857142857143,0.5594529043350117,0.136582379999993,7940.0,487.51,00:08:07
ovarian,Shih2018,Y,0.3049575994781474,0.4433158956062327,0.2786006248420098,0.16844005999999467,7254.0,576.34,00:09:36
ovarian,Tang-Huau2018,Y,1.0,1.0,1.0,0.17091374000000314,9600.0,580.9,00:09:40
ovarian,Zhang2022,Y,0.7854246321399606,0.6384607857527277,0.7669279010574794,0.0911213699999962,,428.74,00:07:08
pancreas,Lin2020,Y,0.2634999330028139,0.6666666666666666,0.2634999330028139,0.0769424100000009,8793.0,311.54,00:05:11
pancreas,Moncada2020,Y,1.0,1.0,1.0,0.5728759300000092,22433.0,1482.22,00:24:42
pancreas,Peng2019,Y,0.5475262047007476,0.5555381784912472,0.5076647152465747,0.3105315100000041,21614.0,1202.97,00:20:02
pancreas,Raghavan2021,Y,0.6762248074717352,0.677950774553747,0.6652642648607878,0.20168640999999354,8189.0,661.12,00:11:01
pancreas,Steele2020,Y,0.6199505867819641,0.6116267817517477,0.56648001492188,0.027625099999994518,10850.0,224.9,00:03:44
prostate,Chen2021,Y,0.3872721282670766,0.4673683346669128,0.3116381861402331,0.31863361000000623,13469.0,875.71,00:14:35
prostate,Dong2020,Y,0.2478865301521698,0.5884439131301056,0.2302206864712514,0.3017760299999992,13059.0,1486.04,00:24:46
prostate,He2021,Y,0.5152073732718894,0.3262798634812286,0.4837828911152703,0.06825229000000377,7817.0,383.74,00:06:23
prostate,Song2022,Y,0.757025249505588,0.6376856508819524,0.6823148177695526,0.231145099999992,13116.0,830.83,00:13:50
scarcoma,Jerby-Arnon2021,Y,1.0,1.0,1.0,0.2613853300000102,11469.0,764.54,00:12:44
skin,Biermann2022,Y,0.3278602352288407,0.7068490442322692,0.3176348014725954,0.5791322300000132,19846.0,1790.22,00:29:50
skin,Jerby-Arnon2018,Y,0.9572780406345672,0.7347463070006423,0.948552553750683,0.4778803500000066,23786.0,1130.35,00:18:50
skin,Ji2020,Y,0.7406776845776929,0.6749259022896196,0.6521954885390385,0.3199848499999973,20142.0,1163.63,00:19:23
skin,Li2019,Y,0.5902394812091504,0.2741421743109936,0.5170328861887309,0.17567861999999934,14877.0,628.88,00:10:28
skin,Paulson2020,Y,0.279449260581336,0.3758055344958302,0.1953757506594668,0.16165371999998968,9534.0,558.64,00:09:18
skin,Tirosh2016,Y,0.6114101184068891,0.5504664970313825,0.5935485638063309,0.2758272300000044,10597.0,890.28,00:14:50
skin,Yost2019,Y,0.9524707132555728,0.5714285714285714,0.9524707132555728,0.23443612999999175,10625.0,784.33,00:13:04
