Tissue Type,Dataset,Success,Accuracy,Macro F1,Weighted F1,Cost,Tokens,Time (seconds),Time (formatted)
brain,Choudhury2022,N,,,,,,,
brain,Filbin2018,Y,0.0425202937765751,0.041833893901165,0.0176488470984994,0.0938828,43438,343.980083,00:05:43
brain,Neftel2019,Y,0.0568148854170983,0.0215041957493529,0.0061087920874317,0.09981620000000001,44917,427.744055,00:07:07
brain,Tirosh2016,Y,0.0052910052910052,0.0035087719298245,5.56947925368978e-05,0.25379860000000004,119078,947.225371,00:15:47
brain,Venteicher2017,N,,,,,,,
brain,Wang2019,Y,0.2426303854875283,0.0976277372262773,0.0947498220699472,0.09492010000000001,37073,280.225417,00:04:40
brain,Yuan2018,Y,0.1629470852771823,0.2353279298879513,0.1937175473754301,0.14239500000000002,64833,538.94643,00:08:58
breast,Bassez2021,Y,0.0646722703907163,0.0555823917394345,0.101421996920599,0.1814483,86902,2464.549966,00:41:04
breast,Gao2021,Y,0.0605841177890417,0.0163209571493595,0.0069215355325669,0.1325632,63053,708.529098,00:11:48
breast,Gulati2020,Y,0.0,0.0,0.0,0.1503238,73511,717.404321,00:11:57
breast,Karaayvas2018,Y,0.2750977835723598,0.0616418346479696,0.1187027246089323,0.24153800000000003,114796,1150.452482,00:19:10
breast,Qian2020,Y,0.0523069480558747,0.0165689767459678,0.005200035635942,0.19707050000000004,85876,922.961276,00:15:22
breast,Wu2021,N,,,,,,,
colorectal,Lee2020,Y,0.0475596804728263,0.0129715570276243,0.004318461752282,0.061494400000000005,29378,306.221904,00:05:06
colorectal,Li2017,Y,0.4,0.2762058023588013,0.4199421583632082,0.09623240000000001,43786,358.424505,00:05:58
head_neck,Kurten2021,Y,0.0647208931419457,0.1216782094785755,0.0583621930341304,0.1928938,87587,1380.928833,00:23:00
hematologic,Caron2020,Y,0.0,0.0,0.0,0.1470645,67512,816.333612,00:13:36
hematologic,Galen2019,Y,0.209002156205079,0.1301761342744421,0.2459425082184551,0.29939360000000004,147019,1999.405896,00:33:19
hematologic,Giustacchini2017,Y,0.0,0.0,0.0,0.3066514,151067,1399.141125,00:23:19
hematologic,Liu2021,Y,0.0,0.0,0.0,0.15112350000000002,68283,763.361827,00:12:43
hematologic,Nam2019,Y,0.1020723590827366,0.0862897033097456,0.020873182338716,0.1514557,71630,946.849205,00:15:46
hematologic,Rendeiro2020,Y,0.5954890036654449,0.6540095981324231,0.4700041248227103,0.15949560000000002,78945,870.836563,00:14:30
hematologic,Roider2020,Y,0.0,0.0,0.0,0.3139191,154932,1539.928264,00:25:39
hematologic,Steen2021,Y,0.1455184920591306,0.2425018992149911,0.1990108120443663,0.2431165,121631,984.254468,00:16:24
hematologic,Wu2020,Y,0.0588731105868808,0.0277998893343558,0.0065466638363383,0.20047500000000001,97179,1086.843511,00:18:06
kidney,Krishna2021,N,,,,,,,
kidney,Obradovic2021,Y,0.0209797280218391,0.0068495411632666,0.0008622090640783,0.29287610000000003,136180,1486.063327,00:24:46
kidney,Young2018,N,,,,,,,
kidney,Zhang2021,Y,0.6290289746895569,0.4468433724535314,0.6312775420236927,0.124894,61169,861.635206,00:14:21
liver,Ma2019,Y,0.7624254473161034,0.3806818181818182,0.7652720043376107,0.1854039,81597,879.424563,00:14:39
liver,Sun2021,N,,,,,,,
lung,Chan2021,Y,0.0,0.0,0.0,0.3388154,162019,1519.614225,00:25:19
lung,Kim2020,N,,,,,,,
lung,Laughney2020,Y,0.7203061350450561,0.2739900151627829,0.7502140032343529,0.18299490000000002,81360,544.087521,00:09:04
