Tissue Type,Dataset,Success,Accuracy,Macro F1,Weighted F1,Cost,Tokens,Time (seconds),Time (formatted)
brain,Choudhury2022,Y,0.941046513603997,0.7544888404018364,0.925514243630306,0.9752430000000001,285677,583.3651548570051,00:09:43
brain,Filbin2018,Y,0.9628913799768072,0.5,0.9628913799768072,0.792978,235374,176.99037489799957,00:02:56
brain,Gojo2020,Y,0.0851758421130731,0.4021669853409815,0.1039904417566535,0.593577,169427,183.07648620200052,00:03:03
brain,Neftel2019,Y,0.931623223239816,0.6271019475002801,0.9071665720285966,2.377086,689494,777.1312207560113,00:12:57
brain,Tirosh2016,Y,1.0,1.0,1.0,1.8036869999999998,529249,531.0069211660011,00:08:51
brain,Venteicher2017,Y,0.1807285917047784,0.497819673560674,0.1590182593132375,0.9955860000000001,294642,270.84683999200934,00:04:30
brain,Wang2019,Y,0.981981981981982,0.7281727517341825,0.9807104994957432,0.70839,211330,158.41607021799427,00:02:38
brain,Yuan2018,Y,0.1353339217416887,0.4466806373105176,0.1218314549659975,0.8894340000000001,260050,256.6525770349981,00:04:16
breast,Bassez2021,Y,0.316027974496437,0.182199299164976,0.3441555716439852,0.68916,201600,519.4127497470035,00:08:39
breast,Chung2017,Y,1.0,1.0,1.0,0.41967299999999996,118779,104.2113000919926,00:01:44
breast,Gao2021,Y,0.2809558291093411,0.4310539980557121,0.2250289675553645,2.346621,666627,731.893583757992,00:12:11
breast,Gulati2020,Y,0.4526813880126183,0.3116178067318133,0.2821271625616101,0.736545,210939,156.3700284259976,00:02:36
breast,Karaayvas2018,Y,0.3970013037809648,0.5037837750964116,0.3174006198621659,2.053086,572678,690.9712654410105,00:11:30
breast,Qian2020,Y,1.0,1.0,1.0,0.565785,165695,185.40558705900185,00:03:05
breast,Wu2021,Y,0.7457227374480333,0.6998641555920125,0.7134249160253391,1.8684209999999997,536495,799.4629318029984,00:13:19
colorectal,Lee2020,Y,0.4410325083117842,0.5615758712779355,0.4138922509131254,2.238822,632686,778.6217647550002,00:12:58
colorectal,Li2017,Y,0.7949152542372881,0.7626854020296643,0.7601741224414189,0.374592,108724,76.41877225000644,00:01:16
head_neck,Chen2020,Y,0.8179870924668966,0.47318025491758,0.7398389844008424,2.192196,623008,879.7957523399964,00:14:39
head_neck,Kurten2021,Y,0.8053429027113238,0.6079549490093459,0.8019225922593107,1.684725,469955,861.4267382580001,00:14:21
head_neck,Puram2017,Y,1.0,1.0,1.0,2.496576,719468,798.9793381580021,00:13:18
hematologic,Caron2020,Y,0.0666934619506966,0.0618248762721454,0.0083432413763312,0.542427,157421,167.6793320029974,00:02:47
hematologic,Galen2019,Y,0.4688548155246765,0.4646848836343172,0.4022862925027745,0.5466119999999999,161120,139.298488016997,00:02:19
hematologic,Giustacchini2017,Y,0.0,0.0,0.0,0.396015,113429,109.36486838699784,00:01:49
hematologic,Liu2021,Y,0.7599285199903982,0.5949124315565469,0.6684254454341313,0.807495,240285,280.549088269996,00:04:40
hematologic,Nam2019,Y,0.8590985080276314,0.4186457346834705,0.8286387573164196,0.48685500000000004,139121,198.90440331400168,00:03:18
hematologic,Rendeiro2020,Y,0.2322350883038987,0.1514154480914744,0.0967971954088413,0.648531,193301,180.33560761300032,00:03:00
hematologic,Roider2020,Y,0.3593741141788083,0.5080968819286577,0.1914370344866065,0.5668259999999999,164754,196.55314273099793,00:03:16
hematologic,Steen2021,Y,0.9630708358520635,0.7443201027790926,0.945025761491724,0.756285,219495,164.11659273799887,00:02:44
hematologic,Wu2020,Y,0.4060625684197542,0.2551787452623338,0.359604702831124,0.9853860000000001,287806,338.1598808569979,00:05:38
kidney,Krishna2021,Y,0.8992246671807655,0.7040266547962704,0.8609892592349031,2.088027,618785,1154.5923767159984,00:19:14
kidney,Obradovic2021,Y,0.6951620241646024,0.4102337255926171,0.6653260929703134,0.8113800000000001,230188,269.10367170500103,00:04:29
kidney,Young2018,Y,0.1844029439263539,0.5571444693819055,0.174979470392118,1.413999,416381,568.4833269269948,00:09:28
kidney,Zhang2021,Y,0.9685824794734342,0.8305479978837773,0.9587762953463714,1.0530209999999998,316783,279.2812573400006,00:04:39
liver,Ma2019,Y,0.3333333333333333,0.5714285714285714,0.3333333333333333,1.083915,317217,329.910234312003,00:05:29
liver,Sun2021,Y,0.8341011031640199,0.6707070707070707,0.8320902074447958,0.753405,224347,322.80921291100094,00:05:22
lung,Chan2021,Y,0.4109067411322148,0.6801730448452558,0.3870371921220376,0.997497,297255,510.8789767720009,00:08:30
lung,Kim2020,Y,0.6756839934755178,0.7359913545331219,0.6510457905011808,2.493141,730015,784.6223605730047,00:13:04
lung,Laughney2020,Y,0.9426490556721392,0.5714285714285714,0.9426490556721392,2.1578850000000003,609903,761.1095861149952,00:12:41
lung,Qian2020,Y,0.7554471425427335,0.5995584570666328,0.709177155975727,2.6213369999999996,768791,813.3049856340003,00:13:33
lung,Song2019,Y,0.8442772457820338,0.3158072696534235,0.828259901731437,1.444743,437265,250.9408288909981,00:04:10
lung,Xing2021,Y,0.9216521687673828,0.8204872646733111,0.8925298547549486,0.884544,253312,265.8041893359987,00:04:25
lung,Zilionis2019,Y,0.8718688861092402,0.6666666666666666,0.8718688861092402,0.6385470000000001,183849,161.46818113100016,00:02:41
neuroendocrine,Dong2020,Y,0.8882406233013227,0.3997020143363275,0.8759420733923543,2.338404,675440,1152.4856852730009,00:19:12
neuroendocrine,Jansky2021,Y,0.0219395080980098,0.4515397155255594,0.0184272580652565,0.596721,171987,158.260452317998,00:02:38
neuroendocrine,Kildisiute2021,Y,0.7709780459362165,0.7848103985390482,0.6898055209348151,0.82011,236502,265.9059407369932,00:04:25
neuroendocrine,Rao2020,Y,0.5243722304283605,0.7167651403249631,0.3855303722871562,0.911817,273427,206.57111974199506,00:03:26
ovarian,Geistlinger2020,Y,0.9579829884721308,0.8040725964460974,0.9505310721543998,0.48160499999999995,135007,214.0029028919962,00:03:34
ovarian,Izar2020,Y,0.9810901001112348,0.7967181467181467,0.971790298959376,1.154445,335803,270.68951810699946,00:04:30
ovarian,Nath2021,Y,0.8690598864099307,0.5296705063051942,0.8107439009771018,0.866283,254177,198.86837617000128,00:03:18
ovarian,Olalekan2021,Y,0.5557916034395549,0.6798340661644913,0.5566370901176956,0.376635,108325,126.55137623300106,00:02:06
ovarian,Olbrecht2021,Y,0.8134337970118496,0.6868059785409736,0.8142659885108571,0.499476,145968,114.49174093200418,00:01:54
ovarian,Qian2020,Y,0.9160521503156156,0.816866856441945,0.8782252014541523,0.581187,170309,134.4296377339997,00:02:14
ovarian,Regner2021,Y,1.0,1.0,1.0,0.9087360000000001,269872,356.60842644499644,00:05:56
ovarian,Shih2018,Y,0.5636007827788649,0.6838685448739382,0.5372438081427274,0.500376,146464,117.82966567499534,00:01:57
ovarian,Tang-Huau2018,Y,1.0,1.0,1.0,0.739437,214779,233.03340688400203,00:03:53
ovarian,Zhang2022,Y,0.9554705905070868,0.8051274524193944,0.9369738594246056,0.743355,216537,212.47115237200342,00:03:32
pancreas,Lin2020,Y,1.0,1.0,1.0,0.624555,179885,152.48783852299675,00:02:32
pancreas,Moncada2020,Y,0.3096474446570101,0.725507111819318,0.2170046164136569,2.724126,781110,775.3019779179958,00:12:55
pancreas,Peng2019,Y,0.1224555503881515,0.1080046038062885,0.1095975023225414,0.685923,202877,134.22303263199865,00:02:14
