Tissue Type,Dataset,Success,Accuracy,Macro F1,Weighted F1,Cost,Tokens,Time (seconds),Time (formatted)
brain,Choudhury2022_Brain,Y,0.3046241693999286,0.5878221737351698,0.2890918994262373,0.2747,69515,94.04,00:01:34
brain,Filbin2018_Brain,Y,0.1267877850792423,0.3901334312645366,0.0523899760959093,0.1334,33935,44.28,00:00:44
brain,Gojo2020_Brain,Y,0.1762872829796705,0.5575509638052975,0.0814763614532701,0.2732,69269,113.03,00:01:53
brain,Neftel2019_Brain,Y,0.184244333015623,0.3701458906069502,0.1481148549294954,0.2971,79432,87.61,00:01:27
brain,Tirosh2016_Brain,Y,0.059351276742581,0.3370415155179363,0.054119131486252,0.1381,35049,45.61,00:00:45
brain,Venteicher2017_Brain,Y,0.1807285917047784,0.497819673560674,0.1590182593132375,0.2222,56509,80.26,00:01:20
brain,Wang2019_Brain,Y,0.3742722314150886,0.2841878402903811,0.2489733589843779,0.2394,60596,93.35,00:01:33
brain,Yuan2018_Brain,Y,0.1353339217416887,0.4466806373105176,0.1218314549659975,0.2918,73737,98.66,00:01:38
breast,Bassez2021_Breast,Y,0.4812231120524191,0.1954033070912695,0.419621113560029,0.3468,91723,128.65,00:02:08
breast,Chung2017_Breast,Y,0.3844660194174757,0.6,0.3844660194174757,0.2211,56103,99.69,00:01:39
breast,Gao2021_Breast,Y,0.2809558291093411,0.5320439187775232,0.2274579475561496,0.418,106439,140.1,00:02:20
breast,Gulati2020_Breast,Y,0.0,0.0,0.0,0.0824,21138,53.22,00:00:53
breast,Karaayvas2018_Breast,Y,0.1590612777053455,0.4459367792701126,0.1224117842979207,0.3197,81792,85.23,00:01:25
breast,Qian2020_Breast,Y,0.9476930519441252,0.7142857142857143,0.9476930519441252,0.3781,96528,126.17,00:02:06
breast,Wu2021_Breast,Y,0.6575491685321394,0.510494304160331,0.6606094870178219,0.5863,153128,148.84,00:02:28
colorectal,Lee2020_Colorectal,Y,0.441012143879577,0.5501995117419152,0.4157859944524073,0.3386,89664,119.2,00:01:59
colorectal,Li2017_Colorectal,Y,0.7864406779661017,0.6011947187998506,0.7539103051974985,0.2576,65305,75.91,00:01:15
head_neck,Chen2020_Head-and-Neck,Y,0.8014632246578391,0.5161676049806727,0.73725293854648,0.5266,134890,122.97,00:02:02
head_neck,Kurten2021_Head-and-Neck,Y,0.803859649122807,0.5821169228721201,0.7992975806724826,0.5146,131428,113.63,00:01:53
head_neck,Puram2017_Head-and-Neck,Y,0.5698068451372416,0.7142857142857143,0.5698068451372416,0.3687,94127,84.61,00:01:24
hematologic,Caron2020_Hematologic,Y,0.0666934619506966,0.0618248762721454,0.0083432413763312,0.4054,103596,115.04,00:01:55
hematologic,Galen2019_Hematologic,Y,0.4391471011020604,0.3221800227876946,0.3581823510560646,0.3008,77495,71.56,00:01:11
hematologic,Giustacchini2017_Hematologic,Y,0.1014429383471797,0.3333333333333333,0.1014429383471797,0.0721,18715,33.78,00:00:33
hematologic,Liu2021_Hematologic,Y,0.7697303496652709,0.6029773563053045,0.6765940973383626,0.2353,60361,83.14,00:01:23
hematologic,Nam2019_Hematologic,Y,0.1617827965807652,0.3146034492381537,0.0600165203623191,0.2723,69748,75.33,00:01:15
hematologic,Rendeiro2020_Hematologic,Y,0.6073392202599134,0.6219505569138821,0.5115688187248278,0.1834,47369,52.36,00:00:52
hematologic,Riether2020_Hematologic,Y,0.0,0.0,0.0,,,,
hematologic,Roider2020_Hematologic,Y,0.3593741141788083,0.5080968819286577,0.1914370344866065,0.1453,37388,38.11,00:00:38
hematologic,Steen2021_Hematologic,Y,0.8198054624388635,0.4564623254790245,0.7409606838472768,0.2671,68648,70.81,00:01:10
hematologic,Wu2020_Hematologic,Y,0.4424400347431015,0.2785258237235891,0.3973745082130275,0.4321,110773,93.27,00:01:33
kidney,Krishna2021_Kidney,Y,0.8650610044057077,0.5219878364854359,0.8144288284873822,0.532,135895,170.17,00:02:50
kidney,Obradovic2021_Kidney,Y,0.2215257064860219,0.1860432026904669,0.1880631996810554,0.2451,62629,94.02,00:01:34
kidney,Young2018_Kidney,Y,0.1703545657229161,0.4347209374036386,0.1549178272133265,0.4891,126526,169.81,00:02:49
kidney,Zhang2021_Kidney,Y,0.5697563954671914,0.5870430820808501,0.4870436103529131,0.5646,142569,180.4,00:03:00
liver,Ma2019_Liver-Biliary,Y,0.2614314115308151,0.4274917937696355,0.2629582889454178,0.2102,54038,84.82,00:01:24
liver,Sun2021_Liver-Biliary,Y,0.8341011031640199,0.6707070707070707,0.8320902074447958,0.4151,105953,137.43,00:02:17
lung,Chan2021_Lung,Y,0.41086058480072,0.5829286414426703,0.387014101545338,0.3766,96632,131.71,00:02:11
lung,Kim2020_Lung,Y,0.6134859815960361,0.700599329563539,0.5853664063746746,0.4448,113512,176.64,00:02:56
