Tissue Type,Dataset,Success,Accuracy,Macro F1,Weighted F1,Cost,Tokens,Time (seconds),Time (formatted)
brain,Choudhury2022_Brain,Y,0.3046241693999286,0.5878221737351698,0.2890918994262373,0.0043252,2144,26.460155,00:00:26
brain,Filbin2018_Brain,Y,0.0896791650560494,0.0426000734484025,0.0152813560727164,0.0024739,1214,4.139381,00:00:04
brain,Gojo2020_Brain,Y,0.0851758421130731,0.4021669853409815,0.1039904417566535,0.0033627,1635,9.099963,00:00:09
brain,Neftel2019_Brain,Y,0.184244333015623,0.3701458906069502,0.1481148549294954,0.0053724,2580,9.987477,00:00:09
brain,Tirosh2016_Brain,Y,0.0540602714515758,0.25,0.0540602714515758,0.0019261,995,3.513097,00:00:03
brain,Venteicher2017_Brain,Y,0.1807285917047784,0.497819673560674,0.1590182593132375,0.0027621,1368,4.770832,00:00:04
brain,Wang2019_Brain,Y,0.3742722314150886,0.2825064396229723,0.2478443385404597,0.0044561,2200,7.473277,00:00:07
brain,Yuan2018_Brain,Y,0.1353339217416887,0.4466806373105176,0.1218314549659975,0.0031416,1500,6.323578,00:00:06
breast,Bassez2021_Breast,Y,0.316027974496437,0.1518327493041467,0.3441555716439852,0.0052074,2514,15.076036,00:00:15
breast,Chung2017_Breast,Y,0.3844660194174757,0.6,0.3844660194174757,0.0020229,1068,5.433284,00:00:05
breast,Gao2021_Breast,Y,0.2816799420709631,0.5572540028111366,0.2278838963571037,0.0034397,1645,11.24653,00:00:11
breast,Gulati2020_Breast,Y,0.4526813880126183,0.3116178067318133,0.2821271625616101,0.0021791,1114,3.951823,00:00:03
breast,Karaayvas2018_Breast,Y,0.1590612777053455,0.4478150474408659,0.1184477078945218,0.0027258,1329,7.151105,00:00:07
breast,Qian2020_Breast,Y,0.6563463747959122,0.5714285714285714,0.6563463747959122,0.0037972,1856,8.944496,00:00:08
breast,Wu2021_Breast,Y,0.6915274224496323,0.5581627215184176,0.6784134992166353,0.004917,2445,8.925743,00:00:08
colorectal,Lee2020_Colorectal,Y,0.0671376460266888,0.062668361959356,0.1048031921985482,0.0032087,1534,8.289209,00:00:08
colorectal,Li2017_Colorectal,Y,0.3644067796610169,0.5566127290580366,0.2096632856139222,0.00176,922,18.791963,00:00:18
head_neck,Chen2020_Head-and-Neck,Y,0.8418966284633359,0.6364381507540767,0.7778611011939471,0.0038786,1900,8.561864,00:00:08
head_neck,Kurten2021_Head-and-Neck,Y,0.8051515151515152,0.6046655744495552,0.8015156913526091,0.0035233,1739,6.064969,00:00:06
head_neck,Puram2017_Head-and-Neck,Y,0.5698068451372416,0.7142857142857143,0.5698068451372416,0.0031702,1580,9.463641,00:00:09
hematologic,Caron2020_Hematologic,Y,0.0666934619506966,0.0618248762721454,0.0083432413763312,0.0032857,1649,5.558818,00:00:05
hematologic,Galen2019_Hematologic,Y,0.4391471011020604,0.3221800227876946,0.3581823510560646,0.0024035,1201,9.865224,00:00:09
hematologic,Giustacchini2017_Hematologic,Y,0.8985570616528203,0.473284200829111,0.8505457216474186,0.0020196,1017,6.838366,00:00:06
hematologic,Liu2021_Hematologic,Y,0.7697303496652709,0.6029773563053045,0.6765940973383626,0.0046497,2370,9.200594,00:00:09
hematologic,Nam2019_Hematologic,Y,0.8590985080276314,0.4222784573175669,0.8252148977016291,0.0027379,1361,10.485255,00:00:10
hematologic,Rendeiro2020_Hematologic,Y,0.2337554148617127,0.1720174316352374,0.1005766661610294,0.0018777,972,2.813256,00:00:02
hematologic,Roider2020_Hematologic,Y,0.3593741141788083,0.5080968819286577,0.1914370344866065,0.0025685,1246,4.542513,00:00:04
hematologic,Steen2021_Hematologic,Y,0.824476562070671,0.4751246105919003,0.7454472708434874,0.0031361,1555,6.176413,00:00:06
hematologic,Wu2020_Hematologic,Y,0.4475538492375533,0.4422338913897015,0.4103442883970657,0.0038071,1787,6.708166,00:00:06
kidney,Krishna2021_Kidney,Y,0.8650610044057077,0.5611695119391275,0.8268255964598453,0.0041239,2006,8.866659,00:00:08
kidney,Obradovic2021_Kidney,Y,0.2215257064860219,0.2376753886992794,0.199793397543833,0.0029601,1407,11.115721,00:00:11
kidney,Young2018_Kidney,Y,0.2177178976977601,0.4370626420321226,0.1731984672654092,0.0092411,5173,14.277526,00:00:14
kidney,Zhang2021_Kidney,Y,0.5218158376874533,0.4650010717262535,0.4261374587342285,0.0038192,1927,11.237422,00:00:11
liver,Ma2019_Liver-Biliary,Y,0.2601060304837641,0.4285714285714285,0.2601060304837641,0.0023276,1192,6.028161,00:00:06
liver,Sun2021_Liver-Biliary,Y,0.8341011031640199,0.6707070707070707,0.8320902074447958,0.0041492,2071,11.548577,00:00:11
lung,Chan2021_Lung,Y,0.41086058480072,0.6800699317491833,0.3869910252466051,0.0049159,2405,10.337345,00:00:10
